Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
1027247XXC Tesla,22x10 +35,0,,ea,,111.50,
1027247XXC Tesla-Core,"22""x10"" et35",0,,ea,,61.50,
107574900A Tesla-core,21x9 +40 silver 96561,0,,ea,,75.00,
1083u10,1083u10,0,,ea,,70.00,
1083u10-core,1083u10-core,0,,ea,,20.00,
1090K-100,1090K-100,0,,ea,,1.41,
1093,aka 20038,0,,ea,,6.59,
1096,short tpms valve for trw sensors,0,,ea,,4.10,
1096 Porsche Dill Stem,1096 Porsche Dill Stem,0,,ea,,4.10,
1200 grit,sand paper,0,,ea,,0.00,
1320u10(CNC Charcoal),"1983-1994 Chevrolet S10 Blazer 4x4 15""x7"" (1320)",0,,ea,,72.00,
1320u10(CNC Charcoal)-core,"1983-1994 Chevrolet S10 Blazer 4x4 15""x7"" (1320)",0,,ea,,20.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 4 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
1346L45,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,98.00,
1346L45-core,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,48.00,
1346left ms,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,0.00,
1346leftms-Core,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,0.00,
1346R45,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,50.00,
1346R45-core,"1984-1987 Chevrolet Corvette 16""x8.5"" (1346)",0,,ea,,0.00,
1347L45,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,72.00,
1347L45-core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347left,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,108.50,
1347left ms,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347left ms-Core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347left-Core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,57.00,
