Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY05302U,5,21,12.5,139.0,0,0,8,12.5,13,139.0,0,0,0,0
ALY05302U80,5,5,199.48,199.48,0,0,5,199.48,0,0,0,0,0,0
ALY05303U10,5,7,165.85,165.85,0,0,7,165.85,0,0,0,0,0,0
ALY05306U,5,7,12.5,12.5,0,0,7,12.5,0,0,0,0,0,0
ALY05306U10N,5,233,208.73,279.54,0,0,226,279.54,0,0,7,208.73,0,0
ALY05307U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY05307U80N,5,318,262.38,337.66,0,0,293,337.66,0,0,25,262.38,0,0
ALY05308A80,4,4,291.15,291.15,0,0,4,291.15,0,0,0,0,0,0
ALY05308A80N,5,84,299.2,305.16,0,0,59,299.2,0,0,25,305.16,0,0
ALY05309U85N,5,641,380.23,400.49,0,0,616,380.23,0,0,25,400.49,0,0
ALY05311U,5,8,12.5,12.5,0,0,8,12.5,0,0,0,0,0,0
ALY05313U,5,11,12.5,12.5,0,0,11,12.5,0,0,0,0,0,0
ALY05333U,5,8,12.5,12.5,0,0,8,12.5,0,0,0,0,0,0
ALY05333U10,5,62,165.85,165.85,0,0,62,165.85,0,0,0,0,0,0
ALY05334U,5,118,12.5,124.0,0,0,106,12.5,12,124.0,0,0,0,0
ALY05334U35,5,31,139.56,139.56,0,0,31,139.56,0,0,0,0,0,0
ALY05358U85N,5,59,455.48,498.59,0,0,34,498.59,0,0,25,455.48,0,0
ALY05361U,5,43,12.5,124.0,0,0,34,12.5,9,124.0,0,0,0,0
ALY05361U10,5,59,165.85,165.85,0,0,59,165.85,0,0,0,0,0,0
ALY05361U10N,5,194,212.2,241.43,0,0,169,241.43,0,0,25,212.2,0,0
ALY05406U,5,29,12.5,211.0,0,0,13,12.5,16,211.0,0,0,0,0
ALY05406U10,5,68,229.65,229.65,0,0,68,229.65,0,0,0,0,0,0
ALY05408U,5,75,12.5,12.5,0,0,75,12.5,0,0,0,0,0,0
ALY05408U10,5,24,139.56,139.56,0,0,24,139.56,0,0,0,0,0,0
ALY05409U85N,5,29,383.53,426.9,0,0,4,383.53,0,0,25,426.9,0,0
ALY05416U86N,5,8,348.34,348.34,0,0,8,348.34,0,0,0,0,0,0
ALY05417U86N,5,140,345.03,345.03,0,0,140,345.03,0,0,0,0,0,0
ALY05423U10,5,6,139.56,139.56,0,0,6,139.56,0,0,0,0,0,0
ALY05425U10,5,6,165.85,165.85,0,0,6,165.85,0,0,0,0,0,0
ALY05430U,5,34,12.5,211.0,0,0,18,12.5,16,211.0,0,0,0,0
ALY05430U30,5,66,229.65,229.65,0,0,66,229.65,0,0,0,0,0,0
ALY05431U86N,5,67,388.67,388.67,0,0,67,388.67,0,0,0,0,0,0
ALY05433U,5,197,12.5,124.0,0,0,189,12.5,8,124.0,0,0,0,0
ALY05433U20,5,207,165.85,165.85,0,0,207,165.85,0,0,0,0,0,0
ALY05433U20N,5,244,183.09,196.96,0,0,219,183.09,0,0,25,196.96,0,0
ALY05434U,5,47,12.5,124.0,0,0,33,12.5,14,124.0,0,0,0,0
ALY05434U10,5,23,165.85,165.85,0,0,23,165.85,0,0,0,0,0,0
ALY05436U86N,5,172,301.04,301.04,0,0,172,301.04,0,0,0,0,0,0
ALY05439U20,5,11,165.85,165.85,0,0,11,165.85,0,0,0,0,0,0
ALY05442U,5,11,12.5,12.5,0,0,11,12.5,0,0,0,0,0,0
ALY05443U80,5,9,291.15,291.15,0,0,9,291.15,0,0,0,0,0,0
ALY05443U80N,5,158,304.47,304.47,0,0,158,304.47,0,0,0,0,0,0
ALY05444U45,5,7,229.65,229.65,0,0,7,229.65,0,0,0,0,0,0
ALY05445U80,4,4,291.15,291.15,0,0,4,291.15,0,0,0,0,0,0
ALY05449U20,5,36,139.56,139.56,0,0,36,139.56,0,0,0,0,0,0
ALY05449U20N,5,242,108.89,138.79,0,0,217,108.89,0,0,25,138.79,0,0
ALY05450U,5,37,12.5,12.5,0,0,37,12.5,0,0,0,0,0,0
ALY05450U10,5,45,165.85,165.85,0,0,45,165.85,0,0,0,0,0,0
ALY05473U10,5,41,139.56,139.56,0,0,41,139.56,0,0,0,0,0,0
ALY05473U20,5,38,139.56,139.56,0,0,38,139.56,0,0,0,0,0,0
